TROBL_TY_NM,WarmUp,Main,Finish
청각장애,매달려서 다리 들기,서서 어깨 들어올리기,앉아서 다리 벌리기
청각장애,원판던지기,바벨 끌어당기기,앉아서 다리 벌리기
청각장애,원판던지기,턱걸이,비스듬히 누워서 밀기
청각장애,앉아서 다리 펴기,서서 어깨 들어올리기,바벨들어올리기
청각장애,앉아서 다리 밀기,턱걸이,앉아서 다리 굽히기
청각장애,앉아서 다리 밀기,서서 어깨 들어올리기,바벨들어올리기
청각장애,앉아서 밀기,바벨 끌어당기기,앉아서 다리 벌리기
청각장애,매달려서 다리 들기,서서 어깨 들어올리기,앉아서 다리 벌리기
청각장애,앉아서 다리 펴기,턱걸이,비스듬히 누워서 밀기
청각장애,트레드밀에서 걷기,앉아서 위로 밀기,앉아서 다리 굽히기
청각장애,트레드밀에서 걷기,앉아서 위로 밀기,비스듬히 누워서 밀기
청각장애,앉아서 모으기,앉아서 다리 모으기,앉아서 다리 벌리기
청각장애,앉아서 모으기,앉아서 뒤로 당기기,앉아서 다리 굽히기
청각장애,앉아서 모으기,앉아서 다리 모으기,앉아서 다리 벌리기
청각장애,앉아서 다리 펴기,서서 어깨 들어올리기,비스듬히 누워서 밀기
청각장애,앉아서 모으기,앉아서 다리 모으기,앉아서 다리 벌리기
청각장애,원판던지기,앉아서 다리 모으기,앉아서 다리 벌리기
청각장애,앉아서 다리 펴기,앉아서 다리 모으기,앉아서 다리 굽히기
청각장애,앉아서 모으기,앉아서 다리 모으기,앉아서 다리 굽히기
청각장애,앉아서 밀기,앉아서 위로 밀기,앉아서 다리 굽히기
청각장애,거꾸로 누워서 밀기,앉아서 위로 밀기,바벨들어올리기
청각장애,파워클린,서서 어깨 들어올리기,앉아서 다리 벌리기
청각장애,앉아서 다리 펴기,한발 앞으로 내밀고 앉았다 일어서기,바벨들어올리기
청각장애,몸통 들어올리기,앉아서 다리 모으기,앉아서 다리 벌리기
청각장애,앉아서 모으기,앉아서 위로 밀기,바벨들어올리기
청각장애,거꾸로 누워서 밀기,누워서 밀기,앉아서 다리 벌리기
청각장애,거꾸로 누워서 밀기,앉아서 위로 밀기,앉아서 다리 벌리기
청각장애,앉아서 모으기,앉아서 뒤로 당기기,비스듬히 누워서 밀기
청각장애,앉아서 다리 밀기,누워서 밀기,바벨들어올리기
청각장애,실내 자전거타기,서서 어깨 들어올리기,바벨들어올리기
